"name","mac_address","serial_number","tags","firmware_version","status","public_ip","local_ip","connectivity","clients_with_usage","gateway","power_source","ethernet_1","current_clients"
"ES1-Área de Cubículos","88:15:44:60:2b:4c","Q2MD-LWLJ-UGU2","","MR 30.7.1","online","132.248.237.130","172.16.0.120","5/11/2026, 7:59:01 PM,4,5/12/2026, 6:40:39 PM,0,5/12/2026, 6:48:20 PM,4","169","true","PoE 802.3at","100 Mbit, full duplex","5"
"EN2-Dra. Bravo/ Dr. M. Soberon","88:15:44:60:4a:de","Q2MD-P89E-JRQ4","","MR 30.7.1","online","132.248.237.130","172.16.0.112","5/11/2026, 2:54:13 PM,4","368","true","PoE 802.3at","1000 Mbit, full duplex","212"
"ES1-Aracnario","88:15:44:60:61:38","Q2MD-PNBX-2DLJ","","MR 30.7.1","alerting","132.248.237.130","172.16.0.151","5/11/2026, 6:15:04 PM,4","29","true","PoE 802.3af (running in low power mode)","1000 Mbit, full duplex","3464"
"EN1-SeminariosPB","88:15:44:60:53:46","Q2MD-Q2EF-GN5U","","MR 30.7.1","online","132.248.237.130","172.16.0.102","5/11/2026, 2:54:13 PM,4","335","true","PoE 802.3at","1000 Mbit, full duplex","438"
"EN-Cubiculos1-5","88:15:44:60:53:54","Q2MD-Q7LJ-F7Q7","","MR 30.7.1","online","132.248.237.130","172.16.0.136","5/11/2026, 2:55:14 PM,4","251","true","PoE 802.3at","100 Mbit, full duplex","20"
"EN2-Dr. Dubrovsky/ Dr. Pantoja","88:15:44:60:34:88","Q2MD-SBCY-KFXB","","MR 30.7.1","online","132.248.237.130","172.16.0.113","5/11/2026, 2:55:14 PM,4","145","true","PoE 802.3at","1000 Mbit, full duplex","46"
"EN3-Dra. A Covarrubias / Dr. Ochoa","88:15:44:60:53:d4","Q2MD-SH8P-6UYL","","MR 30.7.1","online","132.248.237.130","172.16.0.123","5/11/2026, 2:54:13 PM,4","120","true","PoE 802.3at","1000 Mbit, full duplex","175"
"ES4-Aula Magna B","88:15:44:60:61:e0","Q2MD-SYKG-KB7A","","MR 30.7.1","online","132.248.237.130","172.16.0.146","5/11/2026, 6:16:05 PM,4","214","true","PoE 802.3at","1000 Mbit, full duplex","1"
"ES1-Dra. Ayala / Dr. Rudiño","88:15:44:60:4b:d4","Q2MD-T4JH-KLBY","","MR 30.7.1","alerting","132.248.237.130","172.16.0.119","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:39 PM,0,5/12/2026, 6:45:16 PM,4","480","true","PoE 802.3af (running in low power mode)","1000 Mbit, full duplex","14"
"EN3-Seminarios","88:15:44:60:2d:0e","Q2MD-UHAB-M2VF","","MR 30.7.1","online","132.248.237.130","172.16.0.121","5/11/2026, 2:54:13 PM,4","333","true","PoE 802.3at","1000 Mbit, full duplex","123"
"EN1-Dr. Reynaud/Dr. Zurita","88:15:44:60:4c:28","Q2MD-ULPE-LK4C","","MR 30.7.1","online","132.248.237.130","172.16.0.110","5/11/2026, 2:54:13 PM,4","222","true","PoE 802.3at","1000 Mbit, full duplex","148"
"EN2-Dra. Quinto","88:15:44:60:35:4e","Q2MD-VPGY-ECGQ","","MR 30.7.1","online","132.248.237.130","172.16.0.111","5/11/2026, 2:55:14 PM,4","173","true","PoE 802.3at","1000 Mbit, full duplex","43"
"ES3-Dr. A. Lopez","88:15:44:60:54:a0","Q2MD-VXJY-E344","","MR 30.7.1","online","132.248.237.130","172.16.0.104","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:42 PM,0,5/12/2026, 6:45:39 PM,4","312","true","PoE 802.3at","100 Mbit, full duplex","11"
"ES4-LIMPI1","ac:17:c8:c8:7e:ed","Q2MD-WABH-FK57","","MR 30.7.1","online","132.248.237.130","172.16.0.157","5/11/2026, 6:15:04 PM,4","248","true","PoE 802.3at","1000 Mbit, full duplex","16"
"EN1-Dra. Lomeli / Dra. Rosestein","88:15:44:60:54:ce","Q2MD-WNSR-WBTW","","MR 30.7.1","dormant","132.248.237.130","172.16.0.103","","0","true","PoE 802.3at","100 Mbit, full duplex",""
"EN1-Dr. Darszon","88:15:44:60:35:b6","Q2MD-X8G7-9GV9","","MR 30.7.1","online","132.248.237.130","172.16.0.109","5/11/2026, 2:54:13 PM,4","160","true","PoE 802.3at","1000 Mbit, full duplex","17"
"ES1-LuzBreton","88:15:44:60:2e:74","Q2MD-ZX6H-BUNU","","MR 30.7.1","online","132.248.237.130","172.16.0.135","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:45 PM,0,5/12/2026, 6:45:30 PM,4","74","true","PoE 802.3at","1000 Mbit, full duplex","5"
"ES4-Aula Magna A","88:15:44:60:5d:5e","Q2MD-ZZW9-T5UV","","MR 30.7.1","online","132.248.237.130","172.16.0.145","5/11/2026, 6:15:04 PM,4","204","true","PoE 802.3at","1000 Mbit, full duplex","5"
"ANEXO NORTE PASILLO N3","e4:55:a8:22:59:8f","Q3AB-5VWD-3MQ3","","MR 30.7.1","online","132.248.237.130","172.16.0.179","5/11/2026, 6:15:04 PM,4","89","true","PoE 802.3at","1000 Mbit, full duplex","1"
"ANEXO NORTE PASILLO N2","e4:55:a8:22:59:c8","Q3AB-692K-FABG","","MR 30.7.1","online","132.248.237.130","172.16.0.176","5/11/2026, 6:15:04 PM,4","32","true","PoE 802.3at","1000 Mbit, full duplex",""
"RAMIREZ","e4:55:a8:22:59:7b","Q3AB-6U7Y-CD5B","","MR 30.7.1","online","132.248.237.130","172.16.0.180","5/11/2026, 6:15:04 PM,4","80","true","PoE 802.3at","1000 Mbit, full duplex","24"
"TREVIÑO","e4:55:a8:22:58:a0","Q3AB-88T7-LGZQ","","MR 30.7.1","online","132.248.237.130","172.16.0.172","5/11/2026, 6:15:04 PM,4","27","true","PoE 802.3at","1000 Mbit, full duplex","5"
"PEREZ","e4:55:a8:13:94:51","Q3AB-EBHM-6Q8Q","","MR 30.7.1","online","132.248.237.130","172.16.0.170","5/11/2026, 6:15:04 PM,4","67","true","PoE 802.3at","1000 Mbit, full duplex","19"
"DARSZON","e4:55:a8:22:58:b7","Q3AB-FJYV-N5NK","","MR 30.7.1","online","132.248.237.130","172.16.0.174","5/11/2026, 6:15:04 PM,4","22","true","PoE 802.3at","1000 Mbit, full duplex","1"
"ANEXO NORTE PASILLO N1","e4:55:a8:22:58:ba","Q3AB-MVL5-KPVM","","MR 30.7.1","online","132.248.237.130","172.16.0.173","5/11/2026, 6:15:04 PM,4","53","true","PoE 802.3at","1000 Mbit, full duplex",""
"OCHOA","e4:55:a8:22:59:c2","Q3AB-Q7M5-HQJD","","MR 30.7.1","online","132.248.237.130","172.16.0.175","5/11/2026, 6:15:04 PM,4","23","true","PoE 802.3at","1000 Mbit, full duplex",""
"PALOMAREZ","e4:55:a8:22:58:d9","Q3AB-RHBA-VGBB","","MR 30.7.1","online","132.248.237.130","172.16.0.178","5/11/2026, 6:15:04 PM,4","86","true","PoE 802.3at","1000 Mbit, full duplex","19"
"RUDIÑO","e4:55:a8:22:58:9e","Q3AB-TGV7-W9KU","","MR 30.7.1","online","132.248.237.130","172.16.0.177","5/11/2026, 6:15:04 PM,4","32","true","PoE 802.3at","1000 Mbit, full duplex",""
"PEDRAZA","e4:55:a8:13:94:1f","Q3AB-U5PN-NLLK","","MR 30.7.1","online","132.248.237.130","172.16.0.171","5/11/2026, 6:15:04 PM,4","90","true","PoE 802.3at","1000 Mbit, full duplex","6"
"ANEXO NORTE PASILLO PB","e4:55:a8:13:94:e7","Q3AB-VKK8-G7SX","","MR 30.7.1","online","132.248.237.130","172.16.0.169","5/11/2026, 6:15:04 PM,4","111","true","PoE 802.3at","1000 Mbit, full duplex","2"
"EN1-Lomeli / Rosenstein","e4:55:a8:01:5d:5b","Q3AD-88CP-H5MZ","","MR 30.7.1","online","132.248.237.130","172.16.0.181","5/11/2026, 7:53:54 PM,4,5/12/2026, 6:38:27 PM,0,5/12/2026, 6:43:48 PM,4","147","true","PoE 802.3at","100 Mbit, full duplex","10"
"EA-Administracion-ExComputo","e4:55:a8:01:5d:d7","Q3AD-8WUR-9UTD","","MR 30.7.1","online","132.248.237.130","172.16.0.163","5/11/2026, 2:55:14 PM,4","139","true","PoE 802.3at","1000 Mbit, full duplex","11"
"ES2-Computo-ExAdmon","e4:55:a8:01:5d:cb","Q3AD-LTHZ-4U5V","","MR 30.7.1","alerting","","","5/12/2026, 11:17:25 AM,2,5/12/2026, 12:21:58 PM,6,5/12/2026, 12:22:10 PM,2,5/12/2026, 2:02:47 PM,0,5/12/2026, 2:05:26 PM,6,5/12/2026, 2:05:35 PM,2,5/12/2026, 5:44:30 PM,0,5/12/2026, 5:53:26 PM,6,5/12/2026, 5:54:32 PM,0,5/12/2026, 5:58:29 PM,6,5/12/2026, 5:58:56 PM,2,5/12/2026, 6:38:33 PM,0,5/12/2026, 6:45:16 PM,2,5/12/2026, 7:09:45 PM,6,5/12/2026, 7:10:09 PM,2,5/13/2026, 10:01:16 AM,0,5/13/2026, 10:03:52 AM,6,5/13/2026, 10:04:01 AM,2,5/13/2026, 2:01:35 PM,0,5/13/2026, 2:03:59 PM,6,5/13/2026, 2:04:17 PM,2,5/13/2026, 3:36:47 PM,6,5/13/2026, 3:36:57 PM,2,5/14/2026, 9:28:42 AM,6,5/14/2026, 9:29:00 AM,2","473","false","PoE 802.3af (running in low power mode)","","7"
"ES3-Arias-Lopez-5D:D5","e4:55:a8:01:5d:d5","Q3AD-WLRQ-PKH8","","MR 30.7.1","online","132.248.237.130","172.16.0.165","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:38:30 PM,0,5/12/2026, 6:45:27 PM,18,5/12/2026, 6:45:33 PM,4","145","true","PoE 802.3at","1000 Mbit, full duplex","5"
